Size	Connectance	Basal_p	Network	Species	Persistence	in_Degree	out_Degree	STL	m12	m36	m38	m6	p(12, 0, 1)	p(12, 1, 0)	p(12, 1, 1)	p(36, 0, 1)	p(36, 2, 0)	p(38, 0, 2)	p(38, 1, 1)	p(38, 2, 0)	p(6, 0, 2)	p(6, 1, 0)
260	0.024	0.0	kongsfjorden	"sp63"	0.89937	0	15	1	36	102	3	314	0	36	0	0	102	0	0	3	0	314
260	0.024	0.0	kongsfjorden	"sp106"	0.8095	2	1	2	8	226	0	28	0	6	2	226	0	0	0	0	1	27
260	0.024	0.0	kongsfjorden	"sp129"	0.80947	1	9	2	33	193	11	279	0	27	6	165	28	0	3	8	0	279
260	0.024	0.0	kongsfjorden	"sp97"	0.70923	13	3	3	112	39	15	190	85	1	26	38	1	0	13	2	78	112
260	0.024	0.0	kongsfjorden	"sp201"	0.89922	0	15	1	36	102	3	314	0	36	0	0	102	0	0	3	0	314
260	0.024	0.0	kongsfjorden	"sp244"	0.81027	2	1	2	8	226	0	28	0	6	2	226	0	0	0	0	1	27
260	0.024	0.0	kongsfjorden	"sp26"	0.80996	2	3	2	17	275	2	132	0	13	4	272	3	0	2	0	1	131
260	0.024	0.0	kongsfjorden	"sp52"	0.90026	0	7	1	58	17	4	147	0	58	0	0	17	0	0	4	0	147
260	0.024	0.0	kongsfjorden	"sp225"	0.81064	19	0	2	0	539	0	171	0	0	0	539	0	0	0	0	171	0
260	0.024	0.0	kongsfjorden	"sp72"	0.80905	2	1	2	8	226	0	28	0	6	2	226	0	0	0	0	1	27
260	0.024	0.0	kongsfjorden	"sp13"	0.81118	2	1	2	8	226	0	28	0	6	2	226	0	0	0	0	1	27
260	0.024	0.0	kongsfjorden	"sp151"	0.80989	2	2	2	7	272	3	90	0	5	2	272	0	0	2	1	1	89
260	0.024	0.0	kongsfjorden	"sp231"	0.7965	24	4	2	82	589	42	377	0	13	69	587	2	11	27	4	265	112
260	0.024	0.0	kongsfjorden	"sp34"	0.77694	36	11	2	387	280	177	563	0	88	299	233	47	72	97	8	558	5
260	0.024	0.0	kongsfjorden	"sp162"	0.74096	9	12	2	132	330	59	299	19	32	81	277	53	19	27	13	17	282
260	0.024	0.0	kongsfjorden	"sp8"	0.8095	1	1	2	4	168	0	77	0	3	1	168	0	0	0	0	0	77
260	0.024	0.0	kongsfjorden	"sp44"	0.80822	2	1	2	3	272	2	56	0	3	0	272	0	0	2	0	1	55
260	0.024	0.0	kongsfjorden	"sp145"	0.7093	14	3	3	138	58	28	160	90	9	39	57	1	23	3	2	68	92
260	0.024	0.0	kongsfjorden	"sp33"	0.8092	2	3	2	17	275	2	132	0	13	4	272	3	0	2	0	1	131
260	0.024	0.0	kongsfjorden	"sp20"	0.81054	1	3	2	12	169	2	95	0	9	3	168	1	0	0	2	0	95
260	0.024	0.0	kongsfjorden	"sp135"	0.81058	2	4	2	17	230	2	64	0	10	7	225	5	0	1	1	1	63
260	0.024	0.0	kongsfjorden	"sp160"	0.80943	1	11	2	37	207	16	294	0	29	8	165	42	0	3	13	0	294
