"Network" "S" "C" "Disturbance" "Motif" "Motif_slope"
"0" "50" "0.02" "0" "Omnivory" "0.0158865521135351"
"0" "50" "0.02" "0" "Chain" "0.192333047525771"
"0" "50" "0.02" "0" "Apparent" "-0.229769411166042"
"0" "50" "0.02" "0" "Direct" "0.171914590476802"
"0" "50" "0.02" "0.2" "Omnivory" "-0.0514363892661742"
"0" "50" "0.02" "0.2" "Chain" "0.146695384113772"
"0" "50" "0.02" "0.2" "Apparent" "-0.150637184162156"
"0" "50" "0.02" "0.2" "Direct" "0.142302163429708"
"0" "50" "0.02" "0.4" "Omnivory" "-0.083957600072409"
"0" "50" "0.02" "0.4" "Chain" "0.061677855806839"
"0" "50" "0.02" "0.4" "Apparent" "-0.0850820500786708"
"0" "50" "0.02" "0.4" "Direct" "0.163583829335345"
"0" "50" "0.02" "0.6" "Omnivory" "-0.132391915276437"
"0" "50" "0.02" "0.6" "Chain" "-0.0243013665487937"
"0" "50" "0.02" "0.6" "Apparent" "-0.0147305018336812"
"0" "50" "0.02" "0.6" "Direct" "0.19318583885557"
"0" "50" "0.02" "0.8" "Omnivory" "-0.16385595779065"
"0" "50" "0.02" "0.8" "Chain" "-0.135136753707367"
"0" "50" "0.02" "0.8" "Apparent" "0.0464052112730327"
"0" "50" "0.02" "0.8" "Direct" "0.259838591786991"
"0" "50" "0.02" "1" "Omnivory" "-0.182181345410929"
"0" "50" "0.02" "1" "Chain" "-0.254816261283703"
"0" "50" "0.02" "1" "Apparent" "0.10345376298739"
"0" "50" "0.02" "1" "Direct" "0.33204843958823"
"1" "50" "0.02" "0" "Omnivory" "-0.607742471245634"
"1" "50" "0.02" "0" "Chain" "-0.00874781476260934"
"1" "50" "0.02" "0" "Apparent" "-0.0481311307798878"
"1" "50" "0.02" "0" "Direct" "0.463364353131466"
"1" "50" "0.02" "0.2" "Omnivory" "-0.66566689782777"
"1" "50" "0.02" "0.2" "Chain" "-0.0123612387340443"
"1" "50" "0.02" "0.2" "Apparent" "0.0098417758963163"
"1" "50" "0.02" "0.2" "Direct" "0.416842990373254"
"1" "50" "0.02" "0.4" "Omnivory" "-0.647963812121057"
"1" "50" "0.02" "0.4" "Chain" "-0.0599647748156835"
"1" "50" "0.02" "0.4" "Apparent" "0.0660817006417917"
"1" "50" "0.02" "0.4" "Direct" "0.385008055110152"
"1" "50" "0.02" "0.6" "Omnivory" "-0.643067135718144"
"1" "50" "0.02" "0.6" "Chain" "-0.129390181518164"
"1" "50" "0.02" "0.6" "Apparent" "0.133006783832225"
"1" "50" "0.02" "0.6" "Direct" "0.375353985418586"
"1" "50" "0.02" "0.8" "Omnivory" "-0.613423195902078"
"1" "50" "0.02" "0.8" "Chain" "-0.227859422007024"
"1" "50" "0.02" "0.8" "Apparent" "0.20391029666607"
"1" "50" "0.02" "0.8" "Direct" "0.382227001397905"
"1" "50" "0.02" "1" "Omnivory" "-0.56594660958367"
"1" "50" "0.02" "1" "Chain" "-0.33298813918616"
"1" "50" "0.02" "1" "Apparent" "0.276273441824899"
"1" "50" "0.02" "1" "Direct" "0.382287601680186"
"2" "50" "0.02" "0" "Omnivory" "0.268976979767334"
"2" "50" "0.02" "0" "Chain" "0.0501382479947392"
"2" "50" "0.02" "0" "Apparent" "-0.464746797829393"
"2" "50" "0.02" "0" "Direct" "0.421119610747552"
"2" "50" "0.02" "0.2" "Omnivory" "0.128880045613372"
"2" "50" "0.02" "0.2" "Chain" "0.0218197142610127"
"2" "50" "0.02" "0.2" "Apparent" "-0.346667727840637"
"2" "50" "0.02" "0.2" "Direct" "0.370002806851973"
"2" "50" "0.02" "0.4" "Omnivory" "0.0173645347234265"
"2" "50" "0.02" "0.4" "Chain" "-0.0304236524205645"
"2" "50" "0.02" "0.4" "Apparent" "-0.227508188166711"
"2" "50" "0.02" "0.4" "Direct" "0.325751280315907"
"2" "50" "0.02" "0.6" "Omnivory" "-0.0833140964644151"
"2" "50" "0.02" "0.6" "Chain" "-0.095691966937846"
"2" "50" "0.02" "0.6" "Apparent" "-0.108113947449415"
"2" "50" "0.02" "0.6" "Direct" "0.288882288565921"
"2" "50" "0.02" "0.8" "Omnivory" "-0.199030571524339"
"2" "50" "0.02" "0.8" "Chain" "-0.163511552398723"
"2" "50" "0.02" "0.8" "Apparent" "0.0100531221336624"
"2" "50" "0.02" "0.8" "Direct" "0.265915373524227"
"2" "50" "0.02" "1" "Omnivory" "-0.292233584379974"
"2" "50" "0.02" "1" "Chain" "-0.242235632127895"
"2" "50" "0.02" "1" "Apparent" "0.124255619210005"
"2" "50" "0.02" "1" "Direct" "0.24403709700292"
"3" "50" "0.02" "0" "Omnivory" "0.0078437024306468"
"3" "50" "0.02" "0" "Chain" "0.0333072569695712"
"3" "50" "0.02" "0" "Apparent" "-0.295158492526196"
"3" "50" "0.02" "0" "Direct" "0.505949509700761"
"3" "50" "0.02" "0.2" "Omnivory" "-0.107683979234852"
"3" "50" "0.02" "0.2" "Chain" "0.0159506108760071"
"3" "50" "0.02" "0.2" "Apparent" "-0.210540328071462"
"3" "50" "0.02" "0.2" "Direct" "0.474791395085536"
"3" "50" "0.02" "0.4" "Omnivory" "-0.1792760532742"
"3" "50" "0.02" "0.4" "Chain" "-0.0351701620031814"
"3" "50" "0.02" "0.4" "Apparent" "-0.127028141832237"
"3" "50" "0.02" "0.4" "Direct" "0.452438461492831"
"3" "50" "0.02" "0.6" "Omnivory" "-0.189889254719239"
"3" "50" "0.02" "0.6" "Chain" "-0.103305355598572"
"3" "50" "0.02" "0.6" "Apparent" "-0.0614339414290647"
"3" "50" "0.02" "0.6" "Direct" "0.43062544547142"
"3" "50" "0.02" "0.8" "Omnivory" "-0.19645329078338"
"3" "50" "0.02" "0.8" "Chain" "-0.185254513057864"
"3" "50" "0.02" "0.8" "Apparent" "0.00468851966699143"
"3" "50" "0.02" "0.8" "Direct" "0.42265359944676"
"3" "50" "0.02" "1" "Omnivory" "-0.1891287751462"
"3" "50" "0.02" "1" "Chain" "-0.273168433914197"
"3" "50" "0.02" "1" "Apparent" "0.0647592672220283"
"3" "50" "0.02" "1" "Direct" "0.4195331203405"
"4" "50" "0.02" "0" "Omnivory" "-0.308458285656099"
"4" "50" "0.02" "0" "Chain" "0.0574087039253372"
"4" "50" "0.02" "0" "Apparent" "-0.133524539254537"
"4" "50" "0.02" "0" "Direct" "0.374382127951216"
"4" "50" "0.02" "0.2" "Omnivory" "-0.39890304630619"
"4" "50" "0.02" "0.2" "Chain" "0.0139709432375455"
"4" "50" "0.02" "0.2" "Apparent" "-0.0417375326433443"
"4" "50" "0.02" "0.2" "Direct" "0.350287063049413"
"4" "50" "0.02" "0.4" "Omnivory" "-0.407297315178825"
"4" "50" "0.02" "0.4" "Chain" "-0.0577976391538522"
"4" "50" "0.02" "0.4" "Apparent" "0.0477767032927638"
"4" "50" "0.02" "0.4" "Direct" "0.30608450088537"
"4" "50" "0.02" "0.6" "Omnivory" "-0.363369424852488"
"4" "50" "0.02" "0.6" "Chain" "-0.142084179793742"
"4" "50" "0.02" "0.6" "Apparent" "0.130670015099467"
"4" "50" "0.02" "0.6" "Direct" "0.250587701599519"
"4" "50" "0.02" "0.8" "Omnivory" "-0.282984903470442"
"4" "50" "0.02" "0.8" "Chain" "-0.231910668125908"
"4" "50" "0.02" "0.8" "Apparent" "0.202574211098476"
"4" "50" "0.02" "0.8" "Direct" "0.192877809069934"
